source,target,weight
data center,town,85
data center,want,75
data center,need,67
data center,water,66
data center,community,65
data center,thank,64
data center,make,54
data center,moratorium,54
data center,time,44
data center,power,42
data center,people,42
data center,the town,39
data center,we need,36
data center,board,35
data center,use,32
data center,one,31
data center,live,31
data center,new,29
data center,to make,29
data center,residents,28
data center,communities,28
data center,year,28
data center,industrial,27
data center,yes,27
data center,i want,25
data center,energy,25
data center,put,24
data center,environmental,24
data center,area,23
data center,every,23
