Year,East_Fishkill_Rate,NYS_Average_Rate,Difference_per_kWh,East_Fishkill_Bill,NYS_Average_Bill
2026,0.255,0.251,0.0040000000000000036,153.0,150.6
2025,0.2436,0.248,-0.004399999999999987,146.16,148.8
2024,0.2201,0.239,-0.0189,132.06,143.4
2023,0.2135,0.221,-0.007500000000000007,128.1,132.6
2022,0.2202,0.224,-0.003799999999999998,132.12,134.4
2021,0.1635,0.191,-0.027499999999999997,98.10000000000001,114.60000000000001
2020,0.1472,0.182,-0.0348,88.32,109.2
2019,0.1385,0.179,-0.04049999999999998,83.10000000000001,107.39999999999999
2018,0.1541,0.184,-0.02990000000000001,92.46,110.39999999999999
2017,0.131,0.18,-0.04899999999999999,78.60000000000001,108.0
2016,0.1308,0.177,-0.04619999999999999,78.48,106.19999999999999
